model,fault,level,decision_acc_mean,decision_acc_std,miss_rate_mean,miss_rate_std,escalation_mean,escalation_std,under_escalation_mean,under_escalation_std,fa_per_clean_mean,fa_per_clean_std,anomaly_mean_mean,anomaly_mean_std
B_unweighted,rawnoise,1.0,0.3161392405063291,0.06702887237910747,0.0,0.0,1.0,0.0,0.0,0.0,0.9968354430379748,0.004902510564819498,0.4086050817735945,0.026272420560716953
B_unweighted,rawnoise,2.0,0.2761075949367089,0.03963283862066746,0.0,0.0,0.9996835443037975,0.0006329113924050667,0.00031645569620253165,0.0006329113924050633,0.9981012658227847,0.0037974683544304004,0.8059665439199127,0.011694928497423753
D_mlp,clean,0.0,0.961392405063291,0.012422649636956003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2453915933968939,0.03474892131877152
D_mlp,stuck,1.0,0.9412974683544304,0.02597733133542331,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2460341100795735,0.03502541206325732
D_mlp,stuck,4.0,0.8306962025316456,0.05796195136847338,0.0,0.0,0.9943037974683545,0.00697639483704068,0.00569620253164557,0.006976394837040698,0.0189873417721519,0.0379746835443038,0.24652058830061346,0.03478099327936663
D_mlp,stuck,7.0,0.8518987341772151,0.053471649243995986,0.0,0.0,0.9791139240506329,0.009876257300207103,0.02088607594936709,0.00987625730020711,0.0,0.0,0.24777067238336406,0.03511332271583498
D_mlp,zero,1.0,0.582120253164557,0.13504670363067947,0.02373417721518987,0.04746835443037974,0.9762658227848101,0.04746835443037973,0.0,0.0,0.5670886075949367,0.46165842897890214,0.4668619273388782,0.26989732768711244
D_mlp,zero,4.0,0.3352848101265823,0.10701210347440904,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.717048143346245,0.23614822837965785
D_mlp,zero,7.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
D_mlp,saturate,1.0,0.8653481012658227,0.06642442000608909,0.0670886075949367,0.13338748366300732,0.9139240506329115,0.15321358667077262,0.018987341772151896,0.020263051384281167,0.0,0.0,0.19810107120205855,0.09999620783195325
