held_out,model,reject_quantile,reject_policy,reject_rate_heldout,reject_rate_clean,miss_rate_mean,miss_rate_std,escalation_mean,escalation_std,under_escalation_mean
Mixture,SVM,5,monitor,0.019481340923466157,0.07088607594936709,0.019481340923466157,0.03209119568906769,0.0001265022137887413,0.0002530044275774826,0.980392156862745
Mixture,SVM,5,alarm,0.019481340923466157,0.07088607594936709,0.0,0.0,0.019607843137254898,0.03234352633540418,0.980392156862745
Mixture,SVM,10,monitor,0.17419354838709675,0.15632911392405063,0.17419354838709675,0.2933579518961816,0.0,0.0,0.8258064516129032
Mixture,SVM,10,alarm,0.17419354838709675,0.15632911392405063,0.0,0.0,0.17419354838709675,0.2933579518961816,0.8258064516129032
Mixture,SVM,20,monitor,0.43807716635041116,0.2848101265822785,0.43807716635041116,0.3198626924355783,0.0,0.0,0.5619228336495888
Mixture,SVM,20,alarm,0.43807716635041116,0.2848101265822785,0.0,0.0,0.43807716635041116,0.3198626924355783,0.5619228336495888
Mixture,SVM,30,monitor,0.7110689437065149,0.4120253164556962,0.7110689437065149,0.2306060759409713,0.0,0.0,0.28893105629348514
Mixture,SVM,30,alarm,0.7110689437065149,0.4120253164556962,0.0,0.0,0.7110689437065149,0.2306060759409713,0.28893105629348514
Mixture,RF,0,monitor,0.0,0.0,0.0006325110689437065,0.001265022137887413,0.7745730550284631,0.14734038188302698,0.2247944339025933
Mixture,RF,0,alarm,0.0,0.0,0.0006325110689437065,0.001265022137887413,0.7745730550284631,0.14734038188302698,0.2247944339025933
Mixture,RF,5,monitor,0.5539531941808982,0.10316455696202531,0.5539531941808982,0.16134929655678604,0.4226438962681847,0.1644423681748545,0.02340290955091714
Mixture,RF,5,alarm,0.5539531941808982,0.10316455696202531,0.0,0.0,0.9765970904490828,0.04366067725461954,0.02340290955091714
Mixture,RF,10,monitor,0.6829854522454143,0.24683544303797467,0.6829854522454143,0.05722795730117763,0.3010752688172043,0.05572849679325928,0.015939278937381403
Mixture,RF,10,alarm,0.6829854522454143,0.24683544303797467,0.0,0.0,0.9840607210626185,0.03187855787476281,0.015939278937381403
Mixture,RF,20,monitor,0.8160657811511701,0.7335443037974683,0.8160657811511701,0.09722532543191503,0.17090449082858952,0.08511202063306614,0.013029728020240355
Mixture,RF,20,alarm,0.8160657811511701,0.7335443037974683,0.0,0.0,0.9869702719797596,0.026059456040480718,0.013029728020240355
Mixture,RF,30,monitor,0.9407969639468691,0.8,0.9407969639468691,0.1073329351831767,0.04756483238456673,0.08414289781547572,0.0116382036685642
Mixture,RF,30,alarm,0.9407969639468691,0.8,0.0,0.0,0.9883617963314357,0.023276407337128414,0.0116382036685642
Mixture,KNN,0,monitor,0.0,0.0,0.03390259329538267,0.014175023228671918,0.2241619228336496,0.1259523787734944,0.7419354838709677
Mixture,KNN,0,alarm,0.0,0.0,0.03390259329538267,0.014175023228671918,0.2241619228336496,0.1259523787734944,0.7419354838709677
Mixture,KNN,5,monitor,0.08893105629348512,0.07658227848101266,0.10841239721695131,0.022496774702510713,0.19240986717267552,0.12201163112087067,0.6991777356103731
Mixture,KNN,5,alarm,0.08893105629348512,0.07658227848101266,0.019481340923466157,0.009875278462377604,0.2813409234661607,0.1278075599721354,0.6991777356103731
Mixture,KNN,10,monitor,0.1626818469323213,0.16518987341772154,0.17457305502846301,0.025965330524319354,0.16799493991144845,0.11769370576862256,0.6574320050600886
Mixture,KNN,10,alarm,0.1626818469323213,0.16518987341772154,0.011891208096141682,0.006176625232502822,0.3306767868437698,0.1302576040499106,0.6574320050600886
Mixture,KNN,20,monitor,0.1626818469323213,0.16518987341772154,0.17457305502846301,0.025965330524319354,0.16799493991144845,0.11769370576862256,0.6574320050600886
Mixture,KNN,20,alarm,0.1626818469323213,0.16518987341772154,0.011891208096141682,0.006176625232502822,0.3306767868437698,0.1302576040499106,0.6574320050600886
Mixture,KNN,30,monitor,0.1626818469323213,0.16518987341772154,0.17457305502846301,0.025965330524319354,0.16799493991144845,0.11769370576862256,0.6574320050600886
Mixture,KNN,30,alarm,0.1626818469323213,0.16518987341772154,0.011891208096141682,0.006176625232502822,0.3306767868437698,0.1302576040499106,0.6574320050600886
